"Time (s)","Sound pressure level (dB)"
2.146966083E1,-1.454702148E1
2.157672020E1,-1.489895558E1
2.168411056E1,-1.608755334E1
2.179199098E1,-1.574682476E1
2.189943093E1,-1.582113162E1
2.200667353E1,-1.583968911E1
2.211430572E1,-1.563869589E1
2.222235765E1,-1.630390407E1
2.232990166E1,-1.553750816E1
2.243749223E1,-1.599101645E1
2.254516541E1,-1.545737276E1
2.265249744E1,-1.497045703E1
2.276235546E1,-1.557119359E1
2.287141687E1,-1.551256944E1
2.298600952E1,-1.538208409E1
2.309359155E1,-1.609773551E1
2.320222994E1,-1.538066931E1
2.330986108E1,-1.527723017E1
2.341709046E1,-1.532070115E1
2.352476791E1,-1.553027484E1
2.363188957E1,-1.609439693E1
2.374014218E1,-1.665471899E1
2.384760692E1,-1.539032618E1
2.395477624E1,-1.501880472E1
2.406493374E1,-1.547335010E1
2.417295582E1,-1.566769143E1
2.428074421E1,-1.501251604E1
2.438897791E1,-1.507916260E1
2.449658655E1,-1.588512847E1
2.460560645E1,-1.619870961E1
2.471413640E1,-1.580599019E1
2.482194843E1,-1.568107859E1
2.493273166E1,-1.562136678E1
2.504031228E1,-1.591730990E1
2.514746390E1,-1.579000423E1
2.525435848E1,-1.530432827E1
2.536171171E1,-1.545134814E1
2.546972525E1,-1.615787627E1
2.557729322E1,-1.660519745E1
2.568540421E1,-1.578765738E1
2.579297661E1,-1.586456924E1
2.590099400E1,-1.580616105E1
2.601243634E1,-1.534287517E1
2.612156088E1,-1.546323644E1
2.622876452E1,-1.511009863E1
2.633809931E1,-1.540639205E1
2.644664686E1,-1.568704469E1
2.655911166E1,-1.586693270E1
2.666929593E1,-1.562959232E1
2.677877791E1,-1.547817177E1
2.689330124E1,-1.506125598E1
2.700564926E1,-1.497020058E1
2.711292212E1,-1.642775590E1
2.722098150E1,-1.593709749E1
2.732832785E1,-1.536275498E1
2.743646650E1,-1.491833626E1
2.754589254E1,-1.587903239E1
2.765325301E1,-1.530001203E1
2.776064624E1,-1.474551292E1
2.786838650E1,-1.484348632E1
2.797582041E1,-1.510165085E1
2.808447223E1,-1.439496357E1
2.819258114E1,-1.482821769E1
2.829991134E1,-1.550017908E1
2.840692666E1,-1.519437235E1
2.851425712E1,-1.527499670E1
2.862153728E1,-1.602339702E1
2.872876801E1,-1.569047234E1
2.883987364E1,-1.533618132E1
2.894830827E1,-1.548559854E1
2.905590509E1,-1.614590297E1
2.916320551E1,-1.579583967E1
2.927016874E1,-1.525023828E1
2.937817582E1,-1.576980799E1
2.948609426E1,-1.580012094E1
2.959357650E1,-1.491659627E1
2.970099311E1,-1.550961607E1
2.980816447E1,-1.567876460E1
2.991516608E1,-1.575449003E1
3.002325952E1,-1.512603576E1
3.013033676E1,-1.581178259E1
3.023740212E1,-1.509496351E1
3.034476587E1,-1.574967300E1
3.045170197E1,-1.566718840E1
3.055949785E1,-1.519749383E1
3.066744040E1,-1.595106395E1
3.077644015E1,-1.575299540E1
3.088600452E1,-1.490977556E1
3.099338296E1,-1.530974902E1
3.110065582E1,-1.522774566E1
3.120803874E1,-1.481765459E1
3.131540796E1,-1.501942907E1
3.142268478E1,-1.505925852E1
3.152970457E1,-1.584044015E1
3.163733978E1,-1.575345866E1
3.174498322E1,-1.616632290E1
3.185275113E1,-1.508610496E1
3.196079254E1,-1.571301150E1
3.206857337E1,-1.528651075E1
3.217590160E1,-1.482679560E1
3.228439405E1,-1.504582679E1
3.239126754E1,-1.476393477E1
3.249992796E1,-1.478044620E1
3.260778431E1,-1.515940333E1
3.271611718E1,-1.551707840E1
3.282578889E1,-1.538032337E1
3.293344728E1,-1.573914266E1
3.304126931E1,-1.581292855E1
3.314897207E1,-1.500111105E1
3.325696634E1,-1.597290801E1
3.336446066E1,-1.574716123E1
3.347172842E1,-1.561963911E1
3.358021452E1,-1.587842824E1
3.368750072E1,-1.514932790E1
3.379501811E1,-1.599570979E1
3.390302816E1,-1.555175453E1
3.401006728E1,-1.540792719E1
3.411840629E1,-1.545222821E1
3.422638301E1,-1.570541822E1
3.433375389E1,-1.475831906E1
3.444179629E1,-1.530084598E1
3.454968301E1,-1.493137200E1
3.465721280E1,-1.607639267E1
3.476711915E1,-1.613135832E1
3.487645744E1,-1.618815476E1
3.498426863E1,-1.533512472E1
3.509135113E1,-1.412767538E1
3.519903441E1,-1.474779856E1
3.530664249E1,-1.488135345E1
3.541569592E1,-1.590324086E1
3.552394358E1,-1.527109925E1
3.563132270E1,-1.558356931E1
3.574016556E1,-1.543209617E1
3.585164993E1,-1.512212803E1
3.596029353E1,-1.608561012E1
3.606755686E1,-1.489594223E1
3.617909535E1,-1.437486637E1
3.628651587E1,-1.565697892E1
3.639534608E1,-1.490389055E1
3.650294868E1,-1.583087281E1
3.661030889E1,-1.560966242E1
3.671993546E1,-1.527307668E1
3.682878561E1,-1.540413666E1
3.693648155E1,-1.528746705E1
3.704372618E1,-1.607075613E1
3.715085853E1,-1.575136377E1
3.725978035E1,-1.592149817E1
3.736948556E1,-1.653046649E1
3.747647087E1,-1.559896339E1
3.758450816E1,-1.585727011E1
3.769395738E1,-1.581760326E1
3.780103988E1,-1.599056043E1
3.790825634E1,-1.641322149E1
3.801583853E1,-1.648011156E1
3.812334848E1,-1.612711647E1
3.823218092E1,-1.570099400E1
3.833935660E1,-1.573861843E1
3.844649061E1,-1.465015946E1
3.855413462E1,-1.558114337E1
3.866324384E1,-1.547493199E1
3.877132915E1,-1.635316122E1
3.887833780E1,-1.543700589E1
3.898546759E1,-1.559438025E1
3.909269702E1,-1.486073942E1
3.920052936E1,-1.504511439E1
3.930777056E1,-1.573637550E1
3.941514681E1,-1.552833948E1
3.952249014E1,-1.610078348E1
3.962970624E1,-1.542975458E1
3.973826196E1,-1.464835711E1
3.984563056E1,-1.598842875E1
3.995297884E1,-1.585444585E1
4.006092488E1,-1.543443181E1
4.016811530E1,-1.590714697E1
4.027523452E1,-1.499834219E1
4.038269978E1,-1.503052198E1
4.048979035E1,-1.571549380E1
4.059806452E1,-1.565319525E1
4.071080488E1,-1.577333598E1
4.081783426E1,-1.508581625E1
4.092486650E1,-1.584163693E1
4.103444035E1,-1.497958151E1
4.114176082E1,-1.557391600E1
4.124920275E1,-1.561164067E1
4.135677644E1,-1.521111188E1
4.146465462E1,-1.535698354E1
4.157231905E1,-1.506534917E1
4.167996535E1,-1.566785854E1
4.178747082E1,-1.590895374E1
4.189464285E1,-1.640889662E1
4.200203717E1,-1.584687998E1
4.210908170E1,-1.529299868E1
4.221943571E1,-1.563623216E1
4.232640571E1,-1.531087062E1
4.243343936E1,-1.486246437E1
4.254298462E1,-1.516192369E1
4.265559889E1,-1.626249742E1
4.276265061E1,-1.560957705E1
4.287186566E1,-1.584827994E1
4.297894978E1,-1.523498882E1
4.308612509E1,-1.513303397E1
4.319359780E1,-1.547150198E1
4.330072613E1,-1.617506801E1
4.340792332E1,-1.626649147E1
4.351529452E1,-1.483581417E1
4.362238102E1,-1.540465581E1
4.373046649E1,-1.573414105E1
4.383786519E1,-1.502684237E1
4.394504879E1,-1.524130134E1
4.405257295E1,-1.533544347E1
4.415986566E1,-1.455375643E1
4.426712701E1,-1.492246116E1
4.437445483E1,-1.508468699E1
4.448162795E1,-1.479509555E1
4.459110936E1,-1.466717974E1
4.469912941E1,-1.575221379E1
